location_resolution,state,local_area,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
Local,Arizona,"Tucson (city), AZ",Other,Social distancing,Private sector closures,Pharmacy; Grocery store; Nursing homes/assisted living facility; Veterinary clinics; Retail stores (not including food); Personal care facilities; Notary,Outlines facilities not affected by the private sector closures.,2020-03-17,2020-03-17,Unspecified,Unspecified,
Local,Arizona,"Tucson (city), AZ",Other,Social distancing,Other forms of social distancing,Non essential business (inclusive); Essential business (inclusive); Personal care facilities,Encourages some businesses defined in Governor Doug Ducey's executive order as essential to close such as personal hygiene. Details included in order.,2020-03-27,2020-03-28,Unspecified,Unspecified,
Local,Arizona,"Tucson (city), AZ",Restricting,Social distancing,Other forms of social distancing,General population (inclusive),The City will not issue special event permits with an expected attendance of 50 persons or more.,2020-03-12,2020-03-12,Unspecified,Unspecified,
Local,Arizona,"Tucson (city), AZ",Restricting,Social distancing,Event delays or cancellations,General population (inclusive); Public sector/government employees,All public meetings and City-sponsored gatherings where the public is invited are suspended.,2020-03-12,2020-03-12,Unspecified,Unspecified,
Local,Arizona,"Tucson (city), AZ",Restricting,Social distancing,Event delays or cancellations,Public sector/government employees,"All meetings of Boards, Committees, and Commissions are suspended.",2020-03-12,2020-03-12,Unspecified,Unspecified,
Local,Arizona,"Tucson (city), AZ",Restricting,Social distancing,Other forms of social distancing,General population (inclusive),Ends section 2 of the March 17 Proclamation.,2020-03-27,2020-03-28,Unspecified,Unspecified,
Local,Arizona,"Tucson (city), AZ",Restricting,Travel restrictions,Domestic travel restriction,Public sector/government employees,All out-of-city travel for employees on business is suspended.,2020-03-12,2020-03-12,Unspecified,Unspecified,
Local,Arkansas,"Little Rock (city), AR",Restricting,Social distancing,Public service closures,General population (inclusive); Government/public buildings,Little Rock city buildings are closed to the public starting 03/18/2020.,2020-03-16,2020-03-18,Unspecified,Unspecified,
Local,Arkansas,"Little Rock (city), AR",Restricting,Social distancing,Curfews,General population (inclusive),"On 03/25/2020, the Mayor of Little Rock announced that he would tighten the city-wide curfew that was previously instituted for 12 a.m. to 5 a.m. starting on 03/18/2020.",2020-03-25,2020-03-26,Unspecified,Unspecified,
Local,Arkansas,"Little Rock (city), AR",Restricting,Social distancing,Curfews,General population (inclusive),"Starting on 03/30/2020, a daytime city-wide curfew for minors will take place from 9 a.m. to 5 p.m. this will continue until 04/17/2020.",2020-03-25,2020-03-30,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Other,Social distancing,Private sector closures,Minors and children; Childcare facilities (preschool or other daycare),"Childcare, camps and educational/recreational programs that provide care may resume operations. Only children of people who are allowed to work outside of their homes are eligible.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Other,Social distancing,Private sector closures,Minors and children; Childcare facilities (preschool or other daycare),"Childcare, camps and educational/recreational programs that provide care may resume operations. Only children of people who are allowed to work outside of their homes are eligible.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Stay at home,General population (inclusive); Outdoor recreation or space,Outdoor recreational activities may resume with some limitations.,2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Mass gathering restrictions,General population (inclusive),"County residents may engage in certain Highly Regulated Vehicle-Based Gatherings.  A Highly Regulated Vehicle-Based Gathering is a gathering where during the entirety of the gathering every participant remains in a fully enclosed motorized vehicle parked at least six feet apart from other vehicles and where all occupants of each enclosed vehicle are members of a single household. The gathering must have a designated organizational host who is responsible for ensuring compliance with this Order and the Shelter in Place Order during the gathering. Hosts must develop and provide the local law enforcement, upon request, with a Highly Regulated Vehicle Based Gathering Plan Each gathering is limited to no more than 200 vehicles and can be no longer than 3 hours. If any of the windows on a vehicle is open, the occupants of the vehicle must wear a face covering in conformance with the Face Covering Order. Attending a Highly Regulated Vehicle-Based Gathering will be considered an Essential Activity as defined by the Shelter in Place Order.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,General population (inclusive); Outdoor recreation or space,"Outdoor recreation areas, including golf courses, skate parks, and athletic fields, may be open with restrictions to ensure social distancing.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Non essential business (inclusive); Retail stores (not including food); Manufacturers,"Businesses that may resume operations at this time include: • Retail stores for curbside or storefront pickup, and/or delivery only • Manufacturing businesses permitted to operate under the state Resilience Roadmap • Logistics and Warehousing permitted to operate under the state Resilience Roadmap",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Non essential business (inclusive),"Some outdoor businesses, including plant nurseries, agricultural operations, landscaping services, and garden centers may resume operations.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Safer at home,General population (inclusive),Small outdoor gatherings are permitted for people belonging to the same Social Bubble. • A Social Bubble is defined as a group of 12 or fewer people from different households • A Social Bubble should be maintained for a minimum of 3 weeks • Participation is restricted to only one Social Bubble at a time • Members of a Social Bubble are strongly encouraged to comply with Social Distancing Requirements and wear face covering to the extent feasible.,2020-06-05,2020-06-08,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Childcare facilities (preschool or other daycare),"Childcare providers to provide care to all children, not just children of essential workers.",2020-06-05,2020-06-08,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Private sector,"Certain businesses providing services with limited person-to-person contact, including appliance repair, and pet grooming services, to resume operations.",2020-06-05,2020-06-08,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Public service closures,Public services,Libraries to open for curbside pickup of books and other media,2020-06-05,2020-06-08,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Other forms of social distancing,Outdoor recreation or space,All dog parks may open with some restrictions.,2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Outdoor recreation or space,"Outdoor museums, outdoor historical sites, and publicly accessible gardens may reopen to the public with some restrictions.",2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Retail stores (not including food),Retail and shopping centers may reopen with restrictions.,2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Outdoor recreation or space; Gym/workout facility/fitness center,Outdoor fitness classes may resume with restrictions.,2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Other forms of social distancing,Higher education; Outdoor recreation or space,"College sports teams may resume training or including non-contact practices, conditioning, or drills outdoors in groups of up to 12 team members and one coach.",2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Restaurants/bars,Restaurants may reopen for outdoor dining. Outdoor dining guidelines must be followed.,2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Event delays or cancellations,Churches/places of worship,Religious and cultural ceremonies may resume with restrictions.,2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Mass gathering restrictions,General population (inclusive),Outdoor events where residents and community members are exercising their First Amendment Rights are permitted. Everyone should wear a face covering and stay at least 6 feet apart.,2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Outdoor recreation or space,Zoos may open with restrictions.,2020-07-19,2020-07-20,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Other forms of social distancing,Private sector,"Professional sports teams may resume practices, games, and tournaments in Alameda County subject to approval from the county Health Officer.",2020-07-19,2020-07-20,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Outdoor recreation or space,Alameda County wineries may resume wine tastings with restrictions.,2020-08-21,2020-08-28,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Personal care facilities,"Personal services providers, including Skin Care and Waxing services, non-medical massage providers, tattoo parlors, and non-medical electrolysis may resume services with restrictions.",2020-08-21,2020-08-28,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Outdoor recreation or space,Outdoor pools may reopen with restrictions.,2020-08-21,2020-08-28,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Personal care facilities,"Hair salons, barbershops, and nail salons may provide services indoors with some restrictions.",2020-09-02,2020-09-02,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Outdoor recreation or space,"Outdoor recreational activities, such as miniature golf, batting cages, driving ranges, and kart racing facilities may reopen in accordance with the Family Entertainment Centers Guidance published by County Department of Public Health.",2020-09-02,2020-09-04,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Museums, historical sites, zoos or publicly accessible gardens may open indoor areas to the public. Capacity must be limited to 25% of the maximum capacity of the indoor space.",2020-10-01,2020-10-01,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Public service closures,Government/public buildings,All Libraries may resume indoor operations in accordance with the Retail Guidance published by the County Department of Public Health.,2020-10-01,2020-10-09,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Entertainment/concert venues/nightclubs,"Operators of arts and entertainment venues may film, stream, or otherwise broadcast outdoors without an audience.",2020-10-01,2020-10-09,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Gym/workout facility/fitness center,"Gyms, Fitness Centers, Dance Studios, and Other Exercise Facilities may open in accordance with the Fitness Facilities Guidance published by the CDPH and DIR",2020-10-01,2020-10-09,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,Private sector closures,Hotels/lodging,"Hotels, lodging, and short-term rentals may resume operations with restrictions.",2020-10-01,2020-10-09,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Relaxing,Social distancing,School closures,Primary education,All Elementary Schools (Transitional Kindergarten through Sixth Grade) may open according to CDPH’s COVID-19 and Reopening In-Person Schools Framework as well as the California Department of Education’s school reopening guidelines. Secondary schools must remain closed and continue distance learning.,2020-10-01,2020-10-13,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Isolation,Confirmed cases; Suspected cases,All confirmed or suspected cases of COVID-19 are required to self-isolate. These individuals are to be given isolation instructions from healthcare providers.,2020-04-03,2020-04-03,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Quarantine,Confirmed cases; Suspected cases; General population (inclusive),"Individuals considered close contacts of confirmed or suspected COVID-19 cases are required to quarantine.  Close contacts to persons with COVID-19 are defined as individuals who: • Live in or have stayed at the individual’s residence OR • Are intimate sexual partners of the individual OR • Provide or provided care to the individual without wearing a mask, gown, and gloves. This contact would also have had to occur while the individual was determined to be infectious. An individual is infectious from 48 hours before their symptoms began and until they are released from isolation.",2020-04-03,2020-04-03,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Nursing homes/assisted living facility,"All long-term care facilities, skilled nursing facilities and other congregate living settings and agencies in the County must implement health screenings for all entrants including staff and essential visitors and keep a log of all staff present each day. All staff must wear face coverings. Communal activities must be cancelled.",2020-04-13,2020-04-14,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Distancing mandate,Homeless shelters/homeless individuals,"Individuals experiencing homelessness who are unsheltered and living in encampments should, to the maximum extent feasible, abide by 12 foot by 12 foot distancing for the placement of tents.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Mass gathering restrictions,General population (inclusive),"All public and private gatherings of any number of people occurring outside a household or living unit are prohibited, with some exceptions.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Stay at home,General population (inclusive),All individuals currently living within the County of Alameda are ordered to shelter at their place of residence. Individuals may leave their residences only for Essential Activities and outdoor recreational activities. Individuals leaving their residence must abide by social distancing requirements.,2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Retail stores (not including food); Manufacturers,"Retail stores now open for curbside pickup and reopened manufacturing plants and warehouses must must implement Site Specific Protection Plans, as required by California’s Resilience Roadmap, as well as any local guidance issued by the Alameda County Department of Public Health for adaptation and mitigation measures.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Essential business (inclusive); Outdoor recreation or space,"All businesses allowed to operate--Essential Businesses and Outdoor Businesses--must devise, post, and implement a social distancing protocol. These businesses must follow industry specific guidelines issued by the county Health Officer.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Minors and children; Childcare facilities (preschool or other daycare),Childcare facilities must limit groups to 12 children or fewer. Children must be assigned to fixed groups. No mixing of groups may occur. Childcare employees shall remain with one group only.,2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Minors and children; Childcare facilities (preschool or other daycare),Childcare facilities must limit groups to 12 children or fewer. Children must be assigned to fixed groups. No mixing of groups may occur. Childcare employees shall remain with one group only.,2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Private sector closures,Non essential business (inclusive); Essential business (inclusive),"All businesses with a facility in the county, except those deemed Essential Businesses or Outdoor Businesses, must cease all activity at locations within the county, except ""Minimum Basic Operations.""  Minimum Basic Operations are defined as the minimum necessary activities to maintain the value of the business’s inventory, ensure security, process payroll and employee benefits, or for related functions and/or the minimum necessary activities to facilitate employees of the business being able to continue to work remotely from their residences.",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Churches/places of worship,"Indoor and outdoor religious and cultural ceremonies must be limited to fewer than 100 people or 25% of the building/area capacity, whichever is lower.",2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Higher education; Outdoor recreation or space,"College sports team members and coaches should maintain a separation of at least six feet from other individuals and avoid the use of shared equipment, and all shared equipment should be sanitized between uses. Coaches shall wear face coverings at all times. Team members shall wear face coverings except when engaged in distance running or other high-intensity aerobic activity. Participants should limit their participation to one sport or activity and shall remain members of one stable group of up to 12 team members and one coach. Locker rooms, weight rooms, or other indoor facilities may not be used at this time.",2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"All persons at dog parks must wear masks. People must maintain six feet of social distancing from people and animals from outside of their household. Visitors must not use common water facilities in the park, and should bring water for themselves and their dogs.",2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Retail stores (not including food),"Retail and shopping centers must limit capacity to 50% of normal maximum capacity or the number of people who can always maintain six feet of distance from each other, whichever is lower. The store must employ reasonable efforts to ensure that its customers and employees comply with Face Coverings and Social Distancing Requirements while in the store. The store must limit the number of employees in enclosed areas, to ensure at least six feet of separation between employees to limit COVID-19 transmission, and shall comply with the requirements of the Retail Industry Guidance published by the California Department of Public Health (“CDPH”) and the Department of Industrial Relations (“DIR”).",2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space; Gym/workout facility/fitness center,"Outdoor fitness classed must be limited to 12 persons, including the instructor. The instructor and all participants must wear face coverings at all times, except when engaged in high-intensity aerobic activity. The instructor and all participants must arrange themselves to provide adequate social distancing of at least 6 feet at all times. Greater distance is recommended for high-intensity aerobic activity. No member of the class may share equipment, and equipment should be sanitized between uses. The instructor of or organizer for the classes must obtain any required use authorizations from the owner or manager of the outdoor space, including permits for using parks required by any city, county, or district before undertaking the fitness classes.",2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Restaurants/bars,"Outdoor seating arrangements must be limited to 6 people per table, all from same household or social bubble. Tables must be spaced at least 6 feet apart. Patrons are required to wear a face covering except when eating or drinking at a dining table. Alcohol may only be served with a meal. Restaurants must post near each entrance and restroom door in a manner readily visible to the public and employees the written Site-Specific Protection Protocol. Restaurants must designate a COVID-19 supervisor(s) in charge of ensuring the implementation of the food facilities’ Site-Specific Protection Plan.",2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Outdoor museums, outdoor historical sites, or publicly accessible gardens must prohibit members of the public from accessing any indoor facilities except to use restrooms, which must be frequently cleaned. All business and transactions involving members of the public must occur outdoors. Businesses operating under this category must implement measures to ensure that social distancing of at least six feet is maintained at all times other than between members of the same household.",2020-06-18,2020-06-19,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Private sector,"Professional sports team must submit a proposed plan, detailing the sanitation, social distancing, health screening, and other procedures that will be implemented to minimize the risk of transmission among players and staff, to the County Health Officer. Teams may only resume practices, games, and tournaments, upon approval of the plan. In the event of inconsistencies between directives and orders of the Health officer and the approved plan, the approved plan controls.",2020-07-19,2020-07-20,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Zoos must ensure that attendance remains below the lesser of 50% of the maximum capacity for the outdoor space ; or the capacity based on the ability of Personnel and patrons to comply with the Social Distancing Requirements. Employees and visitors must wear masks. Zoos must prohibit members of the public from accessing indoor areas associated with the facility, except to use restrooms, which must be cleaned frequently. Zoos must close interactive exhibits such as petting zoos, outdoor rides, playgrounds, and theaters. All business and transactions involving members of the public must occur outdoors.",2020-07-19,2020-07-20,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Public outdoor pools must have at least one staff member in addition to a lifeguard on duty at all times to ensure compliance with state and County Orders. Outdoor pool facilities must require individuals to wear masks when out of the water and unable to maintain 6 feet of social distancing. Indoor areas including locker rooms and snack bars must remain closed. Hot tubs, saunas, and steam rooms must remain closed.",2020-08-21,2020-08-28,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Personal care facilities,"Personal service providers, including skin care and waxing services, non-medical massage providers, tattoo parlors, and non-medical electrolysis, may only provide service by appointment. Service providers must call customers in advance regarding COVID-19 symptoms and exposure. Service Providers and Customers must wear face coverings at all times. Services requiring removal of masks are prohibited. Providers must wear face coverings; glasses goggles, or face shields; disposable or washable smocks (laundered between use with different clients); and disposable gloves if appropriate for the service provided. To the extent possible, facilities must erect barriers such as plexiglass screens to separate the customer from the service provider. Dual services, in which two or more providers attend a single customer at the same time, are prohibited.",2020-08-21,2020-08-28,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"Wine tastings must be arranged by appointment. Patrons must not mix with individuals from other households or social bubbles. Winery staff must serve the wine, as patrons are prohibited from touching the bottles. Wineries must discontinue use of communal dump buckets, spit buckets, or other such vessels, and must provide patrons with individual, disposable containers to avoid splash contamination between guests. Indoor areas must remain closed. Patrons must maintain social distancing and may only remove face coverings when necessary for eating and drinking.",2020-08-21,2020-08-28,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Personal care facilities,"Hair salons, barbershops, and nail salons must provide services by appointment only. These services must call customers in advance regarding COVID-19 symptoms and exposure. Service Providers and customers must wear face coverings at all times. Services requiring removal of masks are prohibited. Providers must wear face coverings; glasses goggles, or face shields; disposable or washable smocks (laundered between use with different clients); and disposable gloves if appropriate for the service provided. To the extent possible, facilities must erect barriers such as plexiglass screens to separate the customer from the service provider. Dual services, in which two or more providers attend a single customer at the same time, are prohibited.",2020-09-02,2020-09-02,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Gym/workout facility/fitness center,"Gym, fitness center, dance studio, or other exercise facilities must limit capacity to 10% of the maximum capacity of the facility. Face coverings must be worn by employees and patrons at all times. Individuals engaged in exercise that increases the rate or intensity of breathing must maintain at least 12 feet of distance from others. Those engaged in activities that do not increase the rate or intensity of breathing must maintain at least six feet of distance from others. Patrons may not engage in exercise that requires the participation of other patrons, such as spotting. Facilities providing indoor group fitness activities must ensure that the shared space has doors and windows that can open to provide additional airflow. Classes must be staggered to allow for sanitization of the space and equipment between groups. Disinfectant sprays and wipes must be conveniently located near equipment for use by patrons. Facilities must post signage instructing patrons to spray and/or wipe down equipment stations before and after use. Locker room and shower facilities may only open to the extent necessary to provide restroom access. Benches, showers, and other shared spaces must be closed.",2020-10-01,2020-10-09,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Hotels/lodging,"Hotel, lodging, and short-term rentals must operate in accordance with guidelines published by the CDPH and DIR. Facilities must close convention and meeting rooms, and any other space where people typically gather. Facilities must limit occupancy of lobbies and reception areas to 25% of maximum capacity or the number necessary to maintain six feet of distance between occupants. Facilities must install plexiglass separators at reception and concierge desks. Hotel fitness centers must monitor usage or remove or disable equipment to manage capacity. Facilities must close indoor pools, spas, steam rooms, and hot tubs.",2020-10-01,2020-10-09,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Social distancing,Adaptation and mitigation measures,Entertainment/concert venues/nightclubs,"Arts and entertainment venues conducting audience-less filming or broadcasting must conduct symptom screening of all participants prior to production, educate all participants regarding COVID-19 protocols, and communicate notification process if there is a positive and potential exposure as outlined in the Site-Specific Protection Plan. Performers and other participants must wear face coverings whenever not performing, and to the greatest extent practicable while performing. Performers unable to wear a face covering while performing must adhere to a minimum of 8 feet of distance from persons who are not members of the same household, unless the performers are separated from others person by Plexiglas or other impermeable barriers. Live streaming, recording, or broadcasting outdoor performances should not be done in a location or in a manner that might encourage the public to gather. The venue must take measures to prevent the public from gathering to view the performance, such as limiting the performance to private and secured property or taking other steps to limit access to the performance area.",2020-10-01,2020-10-09,Unspecified,Unspecified,
Local,California,"Alameda County, CA",Restricting,Travel restrictions,Domestic travel restriction,General population (inclusive); Public transportation,"""People must use public transit only for purposes of performing Essential Activities or to travel to and from work to operate Essential Businesses or maintain Essential Governmental Functions. People riding on public transit must comply with Social Distancing Requirements as defined in the order, to the greatest extent feasible.""",2020-05-18,2020-05-18,Unspecified,Unspecified,
Local,California,"Alpine County, CA",Restricting,Social distancing,Stay at home,General population (inclusive),Alpine county schools are closed and residents must adhere to Governor Newsom's executive order directing all California residents to stay home.,2020-03-19,2020-03-19,Unspecified,Unspecified,
Local,California,"Alpine County, CA",Restricting,Social distancing,Private sector closures,Hotels/lodging,"Some short-term vacation rentals in Alpine county are continuing to operate despite Governor Newsom's stay-at-home order. Alpine county businesses are warned of the crime must prohibit operation and will face fines, imprisonment, or both if they continue.",2020-03-23,2020-03-23,Unspecified,Unspecified,
Local,California,"Amador County, CA",Other,Social distancing,Stay at home,Essential workers (inclusive); Essential business (inclusive),"All persons may leave their residences only for essential activities, or to operate essential businesses as defined within the order and are encouraged to remain open.",2020-03-20,2020-03-20,Unspecified,Unspecified,
Local,California,"Amador County, CA",Restricting,Social distancing,Distancing mandate,General population (inclusive); Essential workers (inclusive),People shall use public transit only for essential activities purposes and must comply with social distancing when they do.,2020-03-20,2020-03-20,Unspecified,Unspecified,
Local,California,"Amador County, CA",Restricting,Social distancing,Private sector closures,Non essential business (inclusive),All non essential businesses must close and may continue operations consisting exclusively of employees performing activities at their own residences.,2020-03-20,2020-03-20,Unspecified,Unspecified,
