location_resolution,state,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
state,District of Columbia,Other,Contact tracing/Testing,Contact tracing,Public sector/government employees,"The Director of the Department of Health must establish a goal and make the best effort to hire at least 50% District residents for the Contact Trace Force initiative. For the position of investigator, the goal must be to hire at least 25% graduates from a workforce development or adult education program funded or administered by the District of Columbia.",2020-06-08,2020-06-09,Unspecified,2020-08-19,
state,District of Columbia,Other,Contact tracing/Testing,Testing,Medical offices (doctor/dentist/physical therapist),"During the public health emergency, dentists are authorized to administer swab tests for COVID-19 as well as supervise self-tests and collect swabs. Audiologists, speech language pathologists, and their assistants are authorized to observe self-tests for COVID-19 and collect self-test swabs.",2020-06-19,2020-06-22,Unspecified,Unspecified,Duration of Public Health Emergency
state,District of Columbia,Other,Contact tracing/Testing,Contact tracing,Public sector/government employees,"The Director of the Department of Health must establish a goal and make the best effort to hire at least 50% District residents for the Contact Trace Force initiative. For the position of investigator, the goal must be to hire at least 25% graduates from a workforce development or adult education program funded or administered by the District of Columbia.",2020-08-19,2020-08-19,Unspecified,2020-10-08,
state,District of Columbia,Other,Contact tracing/Testing,Contact tracing,Public sector/government employees,"The Director of the Department of Health must establish a goal and make the best effort to hire at least 50% District residents for the Contact Trace Force initiative. For the position of investigator, the goal must be to hire at least 25% graduates from a workforce development or adult education program funded or administered by the District of Columbia.",2020-10-09,2020-10-09,Unspecified,Unspecified,
state,District of Columbia,Restricting,Contact tracing/Testing,Testing,Travelers,"Non-District residents coming from any state or country other than a low-risk jurisdiction (with fewer than 10 cases per 100,000) must test negative for COVID-19 within 72 hours of arrival in order to enter the District. Visitors to the District staying for more than 3 days should limit their activities until they obtain a second negative test result, administered 3 to 5 days after arrival.  Virginia and Maryland residents are exempt. There are special provisions for essential workers.",2020-11-06,2020-11-09,2020-12-31,Unspecified,Duration of Emergency
state,District of Columbia,Other,Contact tracing/Testing,Testing,Primary education; Secondary education,"DC is piloting asymptomatic testing protocols for students and staff participating in DC Public Schools in-person programming. With parental consent, students may receive a PCR swab test every ten days. DCPS staff will receive a self-administered testing kit in the mail once per week. Students and staff may continue to participate in in-person programming while test results are pending.",2020-12-02,2020-12-02,Unspecified,Unspecified,
state,Illinois,Other,Contact tracing/Testing,Testing,General population (inclusive); Public sector/government employees,"Directs the Illinois Department of Public Health, Illinois Department of Insurance, and Illinois Department of Healthcare and Family Services to take necessary actions to ensure expanded access to COVID-19 testing, and that consumers do not face financial barriers in accessing testing and treatment services for COVID-19.",2020-07-24,2020-07-24,2020-08-24,Unspecified,30 days
state,Illinois,Other,Contact tracing/Testing,Testing,General population (inclusive); Public sector/government employees,"Directs the Illinois Department of Public Health, Illinois Department of Insurance, and Illinois Department of Healthcare and Family Services to take necessary actions to ensure expanded access to COVID-19 testing, and that consumers do not face financial barriers in accessing testing and treatment services for COVID-19.",2020-08-21,2020-08-21,2020-09-21,2020-09-18,30 days
state,Illinois,Other,Contact tracing/Testing,Testing,General population (inclusive),"Directs the Illinois Department of Public Health, Illinois Department of Insurance, and Illinois Department of Healthcare and Family Services to take necessary actions to ensure expanded access to COVID-19 testing, and that consumers do not face financial barriers in accessing testing and treatment services for COVID-19.",2020-09-18,2020-09-18,Unspecified,2020-10-16,30 days
state,Illinois,Other,Contact tracing/Testing,Testing,General population (inclusive),"Directs the Illinois Department of Public Health, Illinois Department of Insurance, and Illinois Department of Healthcare and Family Services to take necessary actions to ensure expanded access to COVID-19 testing, and that consumers do not face financial barriers in accessing testing and treatment services for COVID-19.",2020-10-16,2020-10-16,Unspecified,2020-11-13,30 days
state,Illinois,Other,Contact tracing/Testing,Contact tracing,General population (inclusive),"Announces release of COVID-19 data related to the state's contact tracing operation, building on the administration's commitment to transparency in its data-driven response to the pandemic. This includes statewide COVID-19 data related to outbreaks and exposure locations as well as school-level data in both categories.",2020-11-06,2020-11-06,Unspecified,2020-11-07,
state,Illinois,Other,Contact tracing/Testing,Testing,General population (inclusive),"Directs the Illinois Department of Public Health, Illinois Department of Insurance, and Illinois Department of Healthcare and Family Services to take necessary actions to ensure expanded access to COVID-19 testing, and that consumers do not face financial barriers in accessing testing and treatment services for COVID-19.",2020-11-13,2020-11-13,Unspecified,2020-12-11,30 days
state,Illinois,Other,Contact tracing/Testing,Testing,General population (inclusive),"Directs the Illinois Department of Public Health, Illinois Department of Insurance, and Illinois Department of Healthcare and Family Services to take necessary actions to ensure expanded access to COVID-19 testing, and that consumers do not face financial barriers in accessing testing and treatment services for COVID-19.",2020-12-11,2020-12-11,Unspecified,Unspecified,30 days
state,Kentucky,Other,Contact tracing/Testing,Testing,Medical offices (doctor/dentist/physical therapist); Insurers,"Clinician's order is not required for lab services, for insurers to cover testing costs, and clinicians do not need to establish formal clinician-patient relationship to conduct testing. And all medical plans are required to provide coverage for diagnosis",2020-07-09,2020-03-06,Unspecified,Unspecified,
state,Kentucky,Other,Contact tracing/Testing,Testing,General population (inclusive),Surge COVID-19 testing will be taking place at the Keeneland Race Course in Fayetteville County.,2020-11-18,2020-11-18,Unspecified,Unspecified,
state,Maine,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services,Health care providers are authorized to collect and submit SARS-CoV-2 molecular or antigen tests for laboratory analysis.,2020-09-22,2020-09-22,Unspecified,Unspecified,For the duration of the public health emergency
state,Maine,Other,Contact tracing/Testing,Testing,General population (inclusive),"Healthcare providers must write down information for the patient about how and when they will receive test results, next steps to take following the test, and an outline for expectations for maintaining self-quarantine for 14 days.",2020-09-22,2020-09-22,Unspecified,Unspecified,For the duration of the public health emergency
state,Maine,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services,Collection sites must use appropriate PPE and store specimen of SARS-CoV-2 carefully. They also must report the total number of COVID-19 tests performed to the Maine CDC.,2020-09-22,2020-09-22,Unspecified,Unspecified,For the duration of the public health emergency
state,Maine,Other,Contact tracing/Testing,Testing,General population (inclusive),Any individual in Maine who is at least 12 months old may obtain testing for SARS-CoV-2.,2020-09-22,2020-09-22,Unspecified,Unspecified,For the duration of the public health emergency
state,Maryland,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services,Orders Maryland Secretary of Health to establish a process for the authorization of COVID-19 testing labs.,2020-03-23,2020-03-23,Unspecified,Unspecified,
state,Maryland,Other,Contact tracing/Testing,Testing,Criminal justice system/prisons/jails/incarcerated persons,Incarcerated persons due for early release must be screened for symptoms of COVID-19. Those displaying symptoms must be isolated immediately and tested for COVID-19. Any,2020-04-18,2020-04-18,Unspecified,2020-11-17,
state,Maryland,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,Universal testing is required of all residents and staffs at nursing homes. Residents will also be evaluated daily.,2020-04-29,2020-04-29,Unspecified,Unspecified,State of Emergency
state,Maryland,Other,Contact tracing/Testing,Testing,Pharmacy,Licensed pharmacists may order COVID-19 tests for patients and collect specimens for COVID-19 testing.,2020-05-19,2020-05-19,Unspecified,Unspecified,
state,Maryland,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"All staff, volunteers, and vendors who are in the facility regularly, shall be tested on a weekly basis for COVID-19 using a reverse transcription PCR-type test",2020-06-19,2020-06-19,Unspecified,Unspecified,
state,Maryland,Other,Contact tracing/Testing,Testing,Criminal justice system/prisons/jails/incarcerated persons,Incarcerated persons due for early release must be screened for symptoms of COVID-19. Those displaying symptoms must be isolated immediately and tested for COVID-19. Any,2020-11-17,2020-11-17,Unspecified,Unspecified,
state,Maryland,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"All nursing home staff, volunteers, and vendors who are in the facility regularly shall be tested at least twice a week, until further notice, with a combination of one reverse transcription polymerase chain reaction-type test (PCR Assay) and one rapid point-of-care COVID-19 diagnostic testing device (POC system) on separate days.",2020-11-17,2020-11-17,Unspecified,Unspecified,
state,Maryland,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"All nursing home residents who have not previously tested positive for COVID-19, per CDC guidance, shall be tested using a PCR assay once a week.",2020-11-17,2020-11-17,Unspecified,Unspecified,
state,Maryland,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"Nursing homes shall establish a cohort of staff who are assigned to care for known or suspected COVID-19 residents. Nursing homes shall designate a room, series of rooms, unit, or floor of the nursing home as a separate observation area where newly admitted and readmitted residents are kept for 14 days while being observed every shift for signs and symptoms of COVID-19. Nursing homes shall designate a room, series of rooms, unit, or floor of the nursing home to care for residents with known or suspected COVID-19.",2020-11-17,2020-11-17,Unspecified,Unspecified,
state,Massachusetts,Other,Contact tracing/Testing,Contact tracing,General population (inclusive),Governor Baker announced a collaboration with Partners in Health to hire 1000 contact tracers for COVID-19 community mitigation,2020-04-03,2020-04-03,Unspecified,Unspecified,
state,Massachusetts,Restricting,Contact tracing/Testing,Contact tracing,Entertainment/concert venues/nightclubs; Indoor recreation/sports facility ; Indoor spaces,"If a host or event venue is notified that an event attendee or event worker has tested positive for COVID-19, the event host or event venue must immediately notify the Local Board of Health in the city or town where the event took place. Hosts and event venues must assist the Department of Public Health and Local Boards of Health with contact tracing and case investigations, including, upon request, providing lists of attendees at social gatherings and their contact information. Event hosts and venues who fail to timely report positive cases or cooperate with contact tracing and case investigations may be subject to penalties and be in violation of this order.",2020-11-02,2020-11-06,Unspecified,Unspecified,
state,Massachusetts,Restricting,Contact tracing/Testing,Contact tracing,Entertainment/concert venues/nightclubs; Indoor recreation/sports facility ; Indoor spaces,"If a host or event venue is notified that an event attendee or event worker has tested positive for COVID-19, the event host or event venue must immediately notify the Local Board of Health in the city or town where the event took place. Hosts and event venues must assist the Department of Public Health and Local Boards of Health with contact tracing and case investigations, including, upon request, providing lists of attendees at social gatherings and their contact information. Event hosts and venues who fail to timely report positive cases or cooperate with contact tracing and case investigations may be subject to penalties and be in violation of this order.",2020-12-08,2020-12-13,Unspecified,Unspecified,
state,Michigan,Other,Contact tracing/Testing,Testing,General population (inclusive),Allows for free drive thru testing through the end of May,2020-05-07,2020-05-07,Unspecified,Unspecified,
state,Michigan,Other,Contact tracing/Testing,Testing,General population (inclusive),Increases testing site and who has an authority to order a test,2020-05-26,2020-05-26,Unspecified,Unspecified,
state,Michigan,Other,Contact tracing/Testing,Testing,Public sector/government employees; Criminal justice system/prisons/jails/incarcerated persons,"There must be state assistance for expanded testing: The Department of Health and Human Services must provide direct assistance with testing supplies, specimen collection, and laboratory processing to jails and local lockups that request assistance.",2020-08-15,2020-08-15,2020-09-30,2020-10-29,1.5 months
state,Michigan,Restricting,Contact tracing/Testing,Testing,Criminal justice system/prisons/jails/incarcerated persons,The department must conduct COVID-19 diagnostic testing in all of its facilities consistent with guidance issued by the Michigan Department of Health and Human Services.,2020-08-15,2020-08-15,2020-09-30,2020-10-29,1.5 months
state,Michigan,Restricting,Contact tracing/Testing,Testing,Criminal justice system/prisons/jails/incarcerated persons,The Department of Corrections facilities must conduct COVID-19 diagnostic testing in all of its facilities. The Department of Health and Human Services must provide direct assistance with testing to jails and local lockups that request assistance.,2020-09-29,2020-09-29,2020-10-30,2020-12-06,
state,Minnesota,Other,Contact tracing/Testing,Testing,General population (inclusive),"Medical assistance is available for uninsured individuals for the purpose of testing for and diagnosing COVID-19 as stated in the Social Security Act. Coverage is limited to any diagnostic product available for the detection of COVID-19, necessary to make the diagnosis of COVID-19, and the associated visit.",2020-04-15,2020-04-15,Unspecified,Unspecified,
state,Minnesota,Other,Contact tracing/Testing,Testing,General population (inclusive),"The state’s saliva testing program will the open of new testing sites, Moorhead on October 17 and Brooklyn Park on October 20, and a pilot of the mail order program. These sites will offer free saliva tests to any Minnesotan who believes they need to be tested, as part of the state’s strategy to provide easy access to quick, reliable testing.",2020-10-13,2020-10-17,Unspecified,Unspecified,
state,Minnesota,Other,Contact tracing/Testing,Testing,General population (inclusive),"A new saliva testing center will open at the Minneapolis Convention Center, in addition to 11 other new testing sites across the state. The new sites will be open for anyone, with no barriers to access. Testing sites will offer a combination of PCR and saliva tests.",2020-11-09,2020-11-09,2020-12-31,Unspecified,2 months
state,Missouri,Restricting,Contact tracing/Testing,Contact tracing,Primary education; Secondary education; Minors and children,"Director of Department of Health and Senior Services orders the immediate initiation of contact tracing for school children between the ages of 3 and 21. Local public health agencies should begin contact tracing within 24 hours of a positive test, and the agency should notify the school to expedite contact tracing. If a school is notified of a relevant positive COVID-19 test result, the school will immediately notify the local health authority.",2020-08-07,2020-08-07,2021-06-30,Unspecified,
state,Missouri,Other,Contact tracing/Testing,Testing,General population (inclusive),The next round of community testing events will take place in 8 counties from Sept. 14-23. Anyone can receive a free test regardless of where they live or whether they are having symptoms. Over 50 counties in Missouri already participated in community testing from April to July.,2020-09-09,2020-09-14,2020-09-23,2020-09-23,
state,New Hampshire,Other,Contact tracing/Testing,Testing,Essential workers (inclusive); Pharmacy,"Pharmacies authorized to initiate, order, administer, and analyze SARS-CoV-2 point-of-care diagnostic test kits to detect SARS-CoV-2 or its antibodies.",2020-05-21,2020-05-21,Unspecified,Unspecified,
state,New Hampshire,Other,Contact tracing/Testing,Testing,Childcare facilities (preschool or other daycare),All staff and volunteers must receive a PCR test for SARS-CoV-2 and test negative in the 7 day period before arriving at camp. Staff and volunteers must undergo a second PCR test upon arrival at the camp (Day 1 of 14 day quarantine). Staff and volunteers must undergo a third PCR test one week into quarantine (Day 7 of 14 day quarantine). All results must be back for all staff before the arrival of campers. Records must be kept of all tests and results. Anyone testing positive must be isolated immediately.,2020-06-15,2020-06-28,Unspecified,Unspecified,
state,New Hampshire,Other,Contact tracing/Testing,Testing,Childcare facilities (preschool or other daycare),"Camper’s will not be allowed on camp if parents/guardians do not give consent for testing as outlined in this document, including testing on an ad hoc basis if camper becomes symptomatic.",2020-06-15,2020-06-28,Unspecified,Unspecified,
state,New Hampshire,Other,Contact tracing/Testing,Testing,Childcare facilities (preschool or other daycare),"Any person (staff, volunteer, or camper) who develops any of the above symptoms must be tested for COVID-19 using an appropriately collected nasopharyngeal swab. Camp medical directors should be the ordering clinician for all COVID-19 specimen collection and testing conducted through the camp.",2020-06-15,2020-06-28,Unspecified,Unspecified,
state,New Hampshire,Other,Contact tracing/Testing,Testing,Childcare facilities (preschool or other daycare),All campers must must receive a PCR test for SARS-CoV-2 and test negative in the 7 day period before arriving at camp. Campers must also undergo a second test upon arrival and a third test during their second week at camp. Records must be kept of all tests and results. Any camper testing positive should be isolated immediately.,2020-06-15,2020-06-28,Unspecified,Unspecified,
state,New Hampshire,Other,Contact tracing/Testing,Contact tracing,Personal care facilities,"For contract tracing purposes, businesses must maintain a record of clients receiving services, the date and time of those services, and the identities of staff who had direct interaction with clients receiving services.",2020-07-31,2020-07-31,2020-08-31,Unspecified,
state,New Hampshire,Other,Contact tracing/Testing,Contact tracing,Personal care facilities,"For contract tracing purposes, businesses must maintain a record of clients receiving services, the date and time of those services, and the identities of staff who had direct interaction with clients receiving services.",2020-08-31,2020-08-31,2020-10-01,2020-09-30,
state,New Hampshire,Other,Contact tracing/Testing,Contact tracing,Personal care facilities,"For contract tracing purposes, businesses must maintain a record of clients receiving services, the date and time of those services, and the identities of staff who had direct interaction with clients receiving services.",2020-09-30,2020-09-30,2020-11-15,Unspecified,
state,New Jersey,Other,Contact tracing/Testing,Testing,General population (inclusive),"Double its testing capacity from 20,000 a day by the end of May and 25,000 a day by the end of June",2020-05-12,2020-05-12,Unspecified,Unspecified,
state,New Jersey,Other,Contact tracing/Testing,Contact tracing,General population (inclusive),Implements a robust contact tracing program,2020-05-12,2020-05-12,Unspecified,Unspecified,
state,New Jersey,Other,Contact tracing/Testing,Risk Communication,General population (inclusive),"Launch of contact tracing dashboard to monitor the percentage of cases successfully interviewed, those who provided contacts, contacts notified, and more. The governor urges civilians to answer contact tracing phone calls.",2020-08-07,2020-08-07,Unspecified,Unspecified,
state,New Jersey,Other,Contact tracing/Testing,Contact tracing,General population (inclusive),Announcement of the launch of COVID-19 exposure notification mobile apps in New Jersey and New York. New Jersey and New York will join Pennsylvania and Delaware in creating a regional COVID Alert app network that operates across state lines.,2020-10-01,2020-10-01,Unspecified,Unspecified,
state,New York,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),"Governor Andrew Cuomo extended an order that the Department of Health create a statewide process for prioritizing who gets tested statewide. Testing labs must comply with this process, testing first those individuals prioritized by the state government.",2020-06-07,2020-06-07,2020-07-07,2020-07-07,
state,New York,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"Amendment: Nursing homes & similar facilities are still required to conduct COVID-19 for all personnel and to notify the Department of Health of positive results, but in counties that have entered Phase 2 or greater, testing must occur only once weekly (as opposed to twice weekly in counties in Phase 1).",2020-06-09,2020-06-09,2020-07-09,2020-07-09,
state,New York,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),"Governor Andrew Cuomo extended an order that the Department of Health create a statewide process for prioritizing who gets tested statewide. Testing labs must comply with this process, testing first those individuals prioritized by the state government.",2020-07-07,2020-07-08,2020-08-06,2020-08-05,
state,New York,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,Extension: nursing homes & similar facilities are required to conduct COVID-19 tests for all personnel and to notify the Department of Health of positive results. Testing must occur once weekly.,2020-07-09,2020-07-09,2020-08-08,2020-08-05,
state,New York,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,Extension: nursing homes & similar facilities are required to conduct COVID-19 tests for all personnel and to notify the Department of Health of positive results. Testing must occur once weekly.,2020-08-05,2020-08-05,2020-09-04,2020-09-04,
state,New York,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),"Governor Andrew Cuomo extended an order that the Department of Health create a statewide process for prioritizing who gets tested statewide. Testing labs must comply with this process, testing first those individuals prioritized by the state government.",2020-08-05,2020-08-05,2020-09-04,2020-09-04,
state,New York,Other,Contact tracing/Testing,Testing,Farming/Agriculture/Food processing; Migrant workers/Refugees/asylum seekers,"Mobile testing teams are deployed to counties with high numbers of seasonal workers in agriculture, to assist with early detection.",2020-08-14,2020-08-14,2020-08-14,2020-08-14,
state,New York,Other,Contact tracing/Testing,Testing,General population (inclusive),"Testing of wastewater for viral RNA is expanded, to investigate whether this program can provide a useful indicator of COVID-19's prevalence throughout the population.",2020-08-14,2020-08-14,2020-08-14,2020-08-14,
state,New York,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),"Governor Andrew Cuomo extended an order that the Department of Health create a statewide process for prioritizing who gets tested statewide. Testing labs must comply with this process, testing first those individuals prioritized by the state government.",2020-09-04,2020-09-04,2020-10-04,2020-10-04,
state,New York,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,Extension: nursing homes & similar facilities are required to conduct COVID-19 tests for all personnel and to notify the Department of Health of positive results. Testing must occur once weekly.,2020-09-04,2020-09-04,2020-10-04,2020-10-04,
state,New York,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,Extension: nursing homes & similar facilities are required to conduct COVID-19 tests for all personnel and to notify the Department of Health of positive results. Testing must occur once weekly.,2020-10-04,2020-10-04,2020-11-03,2020-11-03,
state,New York,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),"Governor Andrew Cuomo extended an order that the Department of Health create a statewide process for prioritizing who gets tested statewide. Testing labs must comply with this process, testing first those individuals prioritized by the state government.",2020-10-04,2020-10-04,2020-11-03,2020-11-03,
state,New York,Other,Contact tracing/Testing,Testing,Primary education; Secondary education,"In neighborhoods experiencing outbreaks of COVID-19 and classified as ""yellow zones"" by Department of Health's cluster action initiative, schools must adhere to Department of Health guidance regarding mandatory testing of personnel and students.",2020-10-06,2020-10-09,2020-11-05,2020-11-03,
state,New York,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,Extension: nursing homes & similar facilities are required to conduct COVID-19 tests for all personnel and to notify the Department of Health of positive results. Testing must occur once weekly.,2020-11-03,2020-11-03,2020-12-03,2020-11-09,
state,New York,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),"Governor Andrew Cuomo extended an order that the Department of Health create a statewide process for prioritizing who gets tested statewide. Testing labs must comply with this process, testing first those individuals prioritized by the state government.",2020-11-03,2020-11-03,2020-12-03,2020-12-02,
state,New York,Other,Contact tracing/Testing,Testing,Primary education; Secondary education,"Extension: In neighborhoods experiencing outbreaks of COVID-19 and classified as ""yellow zones"" by Department of Health's cluster action initiative, schools must adhere to Department of Health guidance regarding mandatory testing of personnel and students.",2020-11-03,2020-11-03,2020-12-03,2020-12-02,
state,New York,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"Extension with modifications: nursing homes & similar facilities are required to conduct COVID-19 tests for all personnel and to notify the Department of Health of positive results. Testing must occur once weekly. Additionally, in regions identified as yellow, orange, or red zones by the Department of Health's cluster action initiative, nursing homes must now follow the direction of the Commissioner of Health regarding testing of personnel.",2020-11-09,2020-11-09,2020-12-09,2020-12-09,
state,New York,Other,Contact tracing/Testing,Testing,Hospitals/urgent care/emergency medical services; Medical offices (doctor/dentist/physical therapist),"Governor Andrew Cuomo extended an order that the Department of Health create a statewide process for prioritizing who gets tested statewide. Testing labs must comply with this process, testing first those individuals prioritized by the state government.",2020-12-02,2020-12-02,2021-01-01,Unspecified,
state,New York,Other,Contact tracing/Testing,Testing,Primary education; Secondary education,"Extension: In neighborhoods experiencing outbreaks of COVID-19 and classified as ""yellow zones"" by Department of Health's cluster action initiative, schools must adhere to Department of Health guidance regarding mandatory testing of personnel and students.",2020-12-02,2020-12-02,2021-01-01,Unspecified,
state,New York,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"Extension: nursing homes & similar facilities are required to conduct COVID-19 tests for all personnel and to notify the Department of Health of positive results. Testing must occur once weekly. Additionally, in regions identified as yellow, orange, or red zones by the Department of Health's cluster action initiative, nursing homes must follow the direction of the Commissioner of Health regarding testing of personnel.",2020-12-09,2020-12-09,2021-01-08,Unspecified,
state,North Carolina,Other,Contact tracing/Testing,Testing,General population (inclusive),"Governor Cooper expands the testing, ordering the State Health Director to issue standing orders allowing those who fit North Carolina Department of Health and Human Services criteria to be tested.",2020-06-24,2020-06-26,2020-07-17,2020-09-11,
state,North Dakota,Other,Contact tracing/Testing,Testing,General population (inclusive),"Authorizes PCR testing for all residents of the Grand Forks County, to be carried out by the Grand Forks Health Department",2020-05-14,2020-05-14,Unspecified,Unspecified,Until rescinded
state,North Dakota,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,"The State Health Department authorised PCR testing for all residents and employees of nursing homes, assisting living facilities, and similar centres, to be carried out by the respective centres' Registered Nurses.",2020-05-26,2020-05-26,Unspecified,Unspecified,Until rescinded
state,North Dakota,Other,Contact tracing/Testing,Testing,General population (inclusive),"The State Health Department authorised PCR testing for all residents of certain counties included in the First District Health Unit (FDHU), to be carried out by FDHU staff.",2020-06-09,2020-06-09,Unspecified,Unspecified,"Until end of emergency, or rescinded"
state,Ohio,Other,Contact tracing/Testing,Testing,Nursing homes/assisted living facility,Nursing homes must follow testing guidelines set by the Ohio Dept of Public Health.,2020-05-27,2020-05-28,Unspecified,Unspecified,State of emergency
state,Ohio,Other,Contact tracing/Testing,Testing,Indoor recreation/sports facility ; Outdoor recreation or space; Non essential business (inclusive); Confirmed cases,"A PCR COVID-19 test must be administered to each athlete and team staff member participating in inter-team contact sport competition no more than 72 hours prior to the start of the competition and the results must be in hand prior to the state of the competition. If competition lasts more than four days, administer a second COVID-19 test four days after the first test was administered. A negative test clears the athlete for competition; a positive test prohibits the athlete, teammates and all team staff from continued participation in the competition. Testing should occur every two days following the second test.",2020-07-04,2020-07-04,2020-07-15,Unspecified,
state,Ohio,Other,Contact tracing/Testing,Testing,Indoor recreation/sports facility ; Outdoor recreation or space; Non essential business (inclusive); Confirmed cases,"EXTENSION: A PCR COVID-19 test must be administered to each athlete and team staff member participating in inter-team contact sport competition no more than 72 hours prior to the start of the competition and the results must be in hand prior to the state of the competition. If competition lasts more than four days, administer a second COVID-19 test four days after the first test was administered. A negative test clears the athlete for competition; a positive test prohibits the athlete, teammates and all team staff from continued participation in the competition. Testing should occur every two days following the second test.",2020-07-22,2020-07-23,2020-07-31,Unspecified,
